"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"02/2004","2,75","-0,92","-19,74"
"03/2004","-0,85","-0,18","-22,95"
"04/2004","0,02","1,24","-21,28"
"05/2004","6,69","6,26","37,84"
"06/2004","0,93","-0,69","39,22"
"07/2004","-2,95","-2,60","28,17"
"08/2004","-1,12","-3,07","-24,18"
"09/2004","-3,72","-2,56","-52,17"
"10/2004","-1,32","-0,07","33,33"
"11/2004","-2,34","-4,40","56,82"
"12/2004","-2,43","-2,79","24,64"
"01/2005","-0,93","-1,12","-32,56"
"02/2005","-3,54","-1,14","1,72"
"03/2005","4,12","2,74","3,39"
"04/2005","-4,64","-5,06","42,62"
"05/2005","-4,90","-5,04","-43,68"
"06/2005","-1,60","-2,22","-104,08"
"07/2005","-1,66","1,71","-1350,00"
"08/2005","-0,54","-1,12","-32,00"
"09/2005","-2,80","-5,99","105,88"
"10/2005","-1,65","1,44","114,29"
"11/2005","-2,03","-2,10","-26,67"
"12/2005","3,38","6,06","-34,55"
"01/2006","-0,51","-5,33","63,89"
"02/2006","-4,93","-3,63","-30,51"
"03/2006","-0,46","1,73","4,88"
"04/2006","-1,05","-3,83","-51,16"
"05/2006","2,29","10,11","-52,38"
"06/2006","3,22","-5,92","-310,00"
"07/2006","-2,62","0,55","-190,48"
"08/2006","-1,53","-1,72","-73,68"
"09/2006","0,59","1,66","320,00"
"10/2006","-0,94","-1,44","57,14"
"11/2006","0,45","1,11","-6,06"
"12/2006","-0,37","-1,33","54,84"
"01/2007","-0,53","-0,62","-8,33"
"02/2007","-1,97","-0,31","0,00"
"03/2007","-0,36","-3,20","-15,91"
"04/2007","-2,71","-0,80","-32,43"
"05/2007","-2,48","-5,16","12,00"
"06/2007","-2,51","-0,14","0,00"
"07/2007","-2,54","-2,52","-14,29"
"08/2007","4,42","4,50","95,83"
"09/2007","-3,38","-6,27","-61,70"
"10/2007","-5,19","-5,16","66,67"
