Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,5.365400,5.407600,5.357000,5.365400,5.365400,0
2021-02-15,5.368800,5.371500,5.363756,5.368600,5.368600,0
2021-02-16,5.367800,5.369700,5.365080,5.368000,5.368000,0
2021-02-17,5.369500,5.426900,5.364400,5.369400,5.369400,0
2021-02-18,5.407808,5.448300,5.386400,5.409800,5.409800,0
2021-02-19,5.425500,5.465879,5.364963,5.425800,5.425800,0
2021-02-22,5.381800,5.528032,5.377600,5.380700,5.380700,0
2021-02-23,5.464800,5.478600,5.408785,5.463400,5.463400,0
2021-02-24,5.439500,5.447591,5.389700,5.439600,5.439600,0
2021-02-25,5.403075,5.509500,5.401800,5.402964,5.402964,0
2021-02-26,5.527746,5.581100,5.490000,5.528025,5.528025,0
2021-03-01,5.602400,5.606900,5.556800,5.597600,5.597600,0
2021-03-02,5.640700,5.730000,5.637200,5.640700,5.640700,0
2021-03-03,5.675000,5.769100,5.668253,5.675100,5.675100,0
2021-03-04,5.616453,5.635400,5.545100,5.617500,5.617500,0
2021-03-05,5.668600,5.715438,5.655500,5.668300,5.668300,0
2021-03-08,5.691000,5.757612,5.650807,5.689500,5.689500,0
2021-03-09,5.874600,5.877500,5.799500,5.874600,5.874600,0
2021-03-10,5.801200,5.810800,5.668088,5.801500,5.801500,0
2021-03-11,5.671100,5.671500,5.541000,5.671100,5.671100,0
2021-03-12,5.534700,5.580890,5.530900,5.534800,5.534800,0
2021-03-15,5.495756,5.652500,5.495756,5.495156,5.495156,0
2021-03-16,5.614500,5.624927,5.556400,5.614500,5.614500,0
2021-03-17,5.623000,5.677400,5.617529,5.623400,5.623400,0
2021-03-18,5.583200,5.584600,5.476100,5.583100,5.583100,0
2021-03-19,5.558700,5.562400,5.460200,5.558700,5.558700,0
2021-03-22,5.489300,5.545100,5.468639,5.493563,5.493563,0
2021-03-23,5.505300,5.544062,5.474700,5.505500,5.505500,0
2021-03-24,5.519700,5.565700,5.491139,5.520400,5.520400,0
2021-03-25,5.619700,5.677500,5.616953,5.619600,5.619600,0
2021-03-26,5.648800,5.716139,5.625531,5.648400,5.648400,0
2021-03-29,5.752500,5.802800,5.750000,5.752400,5.752400,0
2021-03-30,5.781100,5.798600,5.732072,5.780800,5.780800,0
2021-03-31,5.771300,5.772700,5.636200,5.771600,5.771600,0
2021-04-01,5.631700,5.705700,5.608100,5.631300,5.631300,0
2021-04-02,5.707400,5.709800,5.706500,5.707400,5.707400,0
2021-04-05,5.710600,5.710900,5.632400,5.710600,5.710600,0
2021-04-06,5.662700,5.671903,5.599271,5.662700,5.662700,0
2021-04-07,5.593200,5.614900,5.547400,5.593200,5.593200,0
2021-04-08,5.612000,5.613400,5.564600,5.612100,5.612100,0
2021-04-09,5.566800,5.669500,5.543353,5.566600,5.566600,0
2021-04-12,5.677000,5.699900,5.630600,5.679300,5.679300,0
2021-04-13,5.732100,5.753300,5.662700,5.732200,5.732200,0
2021-04-14,5.716200,5.731100,5.662968,5.716300,5.716300,0
2021-04-15,5.652400,5.656600,5.596300,5.652900,5.652900,0
2021-04-16,5.613008,5.674800,5.595200,5.615000,5.615000,0
2021-04-19,5.587000,5.618500,5.538676,5.585800,5.585800,0
2021-04-20,5.544400,5.583700,5.501899,5.545300,5.545300,0
2021-04-21,5.568000,5.569800,5.548570,5.567900,5.567900,0
2021-04-22,5.568000,5.568900,5.480160,5.567900,5.567900,0
2021-04-23,5.443300,5.519700,5.424200,5.443200,5.443200,0
2021-04-26,5.477100,5.486500,5.437600,5.477200,5.477200,0
2021-04-27,5.435100,5.461400,5.415767,5.435300,5.435300,0
2021-04-28,5.450900,5.454500,5.385200,5.451000,5.451000,0
2021-04-29,5.341400,5.377000,5.338385,5.341400,5.341400,0
2021-04-30,5.336400,5.435500,5.316004,5.336400,5.336400,0
2021-05-03,5.439700,5.451700,5.372536,5.439700,5.439700,0
