"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)"
"07/2005","-1,66","1,71"
"08/2005","-0,54","-1,12"
"09/2005","-2,80","-5,99"
"10/2005","-1,65","1,44"
"11/2005","-2,03","-2,10"
"12/2005","3,38","6,06"
"01/2006","-0,51","-5,33"
"02/2006","-4,93","-3,63"
"03/2006","-0,46","1,73"
"04/2006","-1,05","-3,83"
"05/2006","2,29","10,11"
"06/2006","3,22","-5,92"
"07/2006","-2,62","0,55"
"08/2006","-1,53","-1,72"
"09/2006","0,59","1,66"
"10/2006","-0,94","-1,44"
"11/2006","0,45","1,11"
"12/2006","-0,37","-1,33"
"01/2007","-0,53","-0,62"
"02/2007","-1,97","-0,31"
"03/2007","-0,36","-3,20"
"04/2007","-2,71","-0,80"
"05/2007","-2,48","-5,16"
"06/2007","-2,51","-0,14"
"07/2007","-2,54","-2,52"
"08/2007","4,42","4,50"
"09/2007","-3,38","-6,27"
"10/2007","-5,19","-5,16"
"11/2007","-1,73","2,28"
"12/2007","0,91","-0,70"
"01/2008","-0,66","-0,62"
"02/2008","-2,63","-4,37"
"03/2008","-1,16","3,91"
"04/2008","-1,10","-3,54"
"05/2008","-1,68","-3,43"
"06/2008","-2,51","-2,30"
"07/2008","-1,70","-1,59"
"08/2008","1,31","4,33"
"09/2008","11,62","17,13"
"10/2008","20,74","10,50"
"11/2008","4,30","10,30"
"12/2008","5,65","0,17"
"01/2009","-3,63","-0,89"
"02/2009","0,23","2,69"
"03/2009","0,05","-2,66"
"04/2009","-4,66","-5,91"
"05/2009","-6,57","-9,42"
"06/2009","-5,01","-1,08"
"07/2009","-1,27","-4,05"
"08/2009","-4,53","0,74"
"09/2009","-1,38","-5,74"
"10/2009","-4,47","-1,92"
"11/2009","-0,71","0,37"
"12/2009","1,40","-0,53"
"01/2010","1,69","7,67"
"02/2010","3,47","-3,40"
"03/2010","-3,03","-1,66"
"04/2010","-1,64","-2,83"
"05/2010","3,22","4,98"
"06/2010","-0,37","-0,84"
"07/2010","-2,04","-2,46"
"08/2010","-0,57","-0,07"
"09/2010","-2,32","-3,52"
"10/2010","-2,05","0,42"
"11/2010","1,77","0,86"
"12/2010","-1,16","-2,91"
"01/2011","-1,09","0,43"
"02/2011","-0,41","-0,73"
"03/2011","-0,53","-1,96"
"04/2011","-4,38","-3,40"
"05/2011","1,70","0,42"
"06/2011","-1,64","-1,19"
"07/2011","-1,46","-0,31"
"08/2011","2,11","1,99"
"09/2011","9,57","16,83"
"10/2011","1,30","-8,95"
"11/2011","1,01","7,25"
"12/2011","2,59","3,58"
"01/2012","-2,57","-7,29"
"02/2012","-3,98","-1,72"
"03/2012","4,48","6,61"
"04/2012","3,32","3,83"
"05/2012","7,07","6,90"
"06/2012","3,18","-0,05"
"07/2012","-1,00","1,41"
"08/2012","0,03","-0,62"
"09/2012","-0,07","-0,32"
"10/2012","0,09","0,03"
"11/2012","1,92","3,75"
"12/2012","0,44","-3,03"
"01/2013","-2,25","-2,70"
"02/2013","-2,85","-0,65"
"03/2013","0,49","1,94"
"04/2013","0,99","-0,60"
"05/2013","1,62","6,50"
"06/2013","6,79","3,93"
"07/2013","3,65","3,37"
"08/2013","4,00","3,59"
"09/2013","-3,06","-6,01"
"10/2013","-3,61","-1,23"
"11/2013","4,88","5,55"
"12/2013","2,18","0,76"
"01/2014","1,57","3,57"
"02/2014","0,06","-3,83"
"03/2014","-2,42","-3,02"
"04/2014","-4,01","-1,19"
"05/2014","-0,53","0,13"
"06/2014","0,66","-1,63"
"07/2014","-0,48","2,95"
"08/2014","1,95","-1,23"
"09/2014","2,86","9,44"
"10/2014","4,95","-0,28"
"11/2014","4,09","4,74"
"12/2014","3,57","3,75"
"01/2015","-0,19","0,23"
"02/2015","6,92","8,11"
"03/2015","11,47","11,46"
"04/2015","-3,07","-6,68"
"05/2015","0,61","6,19"
"06/2015","1,63","-2,40"
"07/2015","3,58","9,39"
"08/2015","9,03","7,45"
"09/2015","11,16","8,95"
"10/2015","-0,67","-2,87"
"11/2015","-2,67","-0,22"
"12/2015","2,51","1,41"
"01/2016","4,68","3,53"
"02/2016","-1,94","-1,56"
"03/2016","-6,79","-10,57"
"04/2016","-3,73","-3,04"
"05/2016","-0,74","4,18"
"06/2016","-3,24","-10,72"
"07/2016","-4,35","0,91"
"08/2016","-2,01","0,04"
"09/2016","1,46","0,18"
"10/2016","-2,17","-2,01"
"11/2016","4,90","6,78"
"12/2016","0,31","-4,05"
"01/2017","-4,64","-4,05"
"02/2017","-2,89","-0,89"
"03/2017","0,76","2,23"
"04/2017","0,26","0,95"
"05/2017","2,34","1,42"
"06/2017","2,68","1,99"
"07/2017","-2,71","-5,37"
"08/2017","-1,72","0,52"
"09/2017","-0,51","0,66"
"10/2017","1,80","3,44"
"11/2017","2,14","-0,47"
"12/2017","1,00","1,42"
"01/2018","-2,47","-4,40"
"02/2018","0,96","2,61"
"03/2018","1,16","2,43"
"04/2018","3,91","4,73"
"05/2018","6,71","7,35"
"06/2018","3,77","3,18"
"07/2018","1,47","-2,62"
"08/2018","2,64","10,13"
